,lines,character
0,agreed what’s your point excuse me one across is aegean eight down is nabakov twentysix across is mcm fourteen down is… move your finger… phylum which makes fourteen across portauprince see papa doc’s capital idea that’s portauprince haiti yes um is this the high iq sperm bank thankyou we’ll be right back what are you kidding you’re a semipro sheldon this was your idea a little extra money to get fractional t bandwidth in the apartment i’m sure she’ll still love him well what do you want to do okay i don’t know i’ve never reneged on a proffer of sperm before okay see you no not really i don’t care two millimetres that doesn’t seem right is that why they sent you to boarding school new neighbour significant improvement over the old neighbour hi hi we don’t mean to interrupt we live across the hall oh… uh… no… we don’t live together… um… we live together but in separate heterosexual bedrooms leonard sheldon hi hi well uh oh welcome to the building oh great great well bye bye should we have invited her for lunch we already watched the season two dvds i think we should be good neighbours invite her over make her feel welcome well then that was wrong of us we need to widen our circle yes and you’ve never met one of them i’m going to invite her over we’ll have a nice meal and chat well it’s not difficult you just listen to what she says and then you say something appropriate in response hi again hi anyway um we brought home indian food and um i know that moving can be stressful and i find that when i’m undergoing stress that good food and company can have a comforting effect also curry is a natural laxative and i don’t have to tell you that uh a clean colon is just one less thing to worry about uh yes great okay well make yourself at home you’re very welcome i have a board if you like boards this is my board what at least i didn’t have to invent twentysix dimensions just to make the math come out in what universe here we go just sit somewhere else sheldon sit well this is nice we don’t have a lot of company over yes i now but… yes i remember i’m sorry i said i’m sorry yeah it’s like regular boggle but in klingon that’s probably enough about us tell us about you i think what sheldon’s trying to say is that sagittarius wouldn’t have been our first guess wuuh do you have some sort of a job oh okay i love cheesecake i don’t eat it i just think it’s a good idea so it’s based on your life well if that was a movie i would go see it well it sounds wonderful i don’t know don’t should i say something i feel like i should say something no it’s not crazy it’s uh uh it’s a paradox and paradoxes are part of nature think about light now if you look at huygens light is a wave as confirmed by the double slit experiments but then along comes albert einstein and discovers that light behaves like particles too well i didn’t make it worse our shower works no no it’s right down the hall how so that’s not true remember at thanksgiving my grandmother with alzheimer’s had that episode the worst part was watching her carve that turkey excuse me well i’m not trying to have sex with her what makes you think she wouldn’t have sex with me i’m a male and she’s a female i’m not going to engage in hypotheticals here i’m just trying to be a good neighbour that’s not to say that if a carnal relationship were to develop that i wouldn’t participate however briefly it’s darth vader shampoo there is a knock on the door luke skywalker’s the conditioner see what this is not a good time that’s great you guys have to go it’s just not a good time no and she’s not a lady she’s just a new neighbour uhhuh i’m not anticipating coitus can we please stop saying coitus come on i’ll show you the trick with the shower save it for your blog howard uh there it goes it sticks i’m sorry you’re welcome oh you’re going to step right okay i’ll… the hair products are sheldon’s a favour sure you can ask me a favour i would do you a favour for you oh i’ll probably say yes wow must we she asked me to do her a favour sheldon which is that’s a biological impossibility and you didn’t have to come come on you know how it is with breakups wuh i i broke up with joyce kim to mend her broken heart this situation is much less complicated there’s some kind of dispute between penny and her exboyfriend as to who gets custody of the tv she just wanted to avoid having a scene with him no sheldon there’s not going to be a scene there’s two of us and one of him i’ll do the talking hi i’m leonard this is sheldon what did i just… uh we’re here to pick up penny’s tv we’re not going to give up just like that excuse me if i were to give up at the first little hitch i never would have been able to identify the fingerprints of string theory in the aftermath of the big bang come on we have a combined iq of we should be able to figure out how to get into a stupid building just grab the door this is it knocks i’ll do the talking i’m leonard this is sheldon oh we’re scientists what i’m sorry sheldon i’m so sorry i dragged you through this and you were right about my motives i was hoping to establish a relationship with penny that might have some day led to sex anyway i’ve learned my lesson she’s out of my league i’m done with her i’ve got my work one day i’ll win the nobel prize and then i’ll die alone thank you sheldon you’re a good friend we’re home well your exboyfriend sends his regards and i think the rest is fairly selfexplanatory no it was a valid hypothesis really great our babies will be smart and beautiful is thai food okay with you penny,Leonard
1,there you go pad thai no peanuts uh i’m not sure everyone keep an eye on howard in case he starts to swell up here we go ask him for a napkin i dare you there is a knock on the door i’ll get it oh hi penny no they’re not going anywhere closes door staying in hallway so you’re coming home from work that’s great how was work so you sort of act as a carbohydrate delivery system yes so there’s gonna be some furniture delivered yeah no problem penny wait um if you don’t have any other plans do you want to join us for thai food and a superman movie marathon unless superman matches her speed and decelerates excuse me your entire argument is predicated on the assumption that superman’s flight is a feat of strength i have hundred comic books in there i challenge you to find a single reference to kryptonian skin cells okay her apartment’s on the fourth floor but the elevator’s broken so you’re going to have to delivery man leaves oh you’re just going to be done okay cool thanks i guess we’ll just bring it up ourselves why not we don’t need strength we’re physicists we are the intellectual descendents of archimedes give me a fulcrum and a lever and i can move the earth it’s just a matter… starts to move package i don’t have this… i don’t have this i don’t have this do you have any ideas easy easy package falls okay now we’ve got an inclined plane the force required to lift is reduced by the sine of the angle of the stairs call it thirty degrees so about half exactly half let’s push okay see it’s moving this is easy all in the math what oh okay uh okay yeah no problem just come up here and help me pull and turn men do things for women without expecting sex i’m doing this to be a good neighbour in any case there’s no way it could lower the odds almost there almost there almost there lets go of package it starts to slip down you okay so penny’s a little messy did it ever occur to you that not everyone has the compulsive need to sort organise and label the entire world around them well they don’t hard as it may be for you to believe most people don’t sort their breakfast cereal numerically by fibre content come on we should go what are you doing sheldon this is not your home when the transvestite lived here you didn’t care how he kept the place what were you doing in his closet oh hey penny this just arrived we just brought this up just now no no well we’ll get out of your hair it’s a joke yeah he didn’t tell it right sheldon sheldon hello sheldon are you insane you can’t just break into a woman’s apartment in the middle of the night and clean do you realise that if penny wakes up there is no reasonable explanation as to why we’re here no no you gave me an explanation it’s reasonableness will be determined by a jury of your peers sheldon we have to get out of here what that’s ridiculous penny snores again fine i accept your premise now please let’s go ooooh collapses against wall oh what the hell morning i’m not surprised a well known folk cure for insomnia is to break into your neighbour’s apartment and clean you think you know what you’ve convinced me maybe tonight we should sneak in and shampoo her carpet yes for god’s sake sheldon do i have to hold up a sarcasm sign every time i open my mouth no i do not have a sarcasm sign penny’s up how did she know it was us god this is going to be bad yes but only to clean i’m very very sorry oh yes we discussed it at length last night okay look no penny i think what you’re feeling is perfectly valid and maybe a little bit later today when you’re feeling a little bit less for lack of a better word violated maybe we could talk about this some more sure that’s another way to go you are going to march yourself over there right now and apologise sheldon laughs what’s funny no it’s fine you win what did she say is she still mad at me oh um here’s the thing reads from note penny just as oppenheimer came to regret his contributions to the first atomic bomb so too i regret my participation in what was at the very least an error in judgement the hallmark of the great human experiment is the willingness to recognise one’s mistakes some mistakes such as madame curie’s discovery of radium turned out to have great scientific potential even though she would later die a slow painful death from radiation poisoning another example from the field of ebola research… yeah six two inch dowels one package phillips head screws no please we insist it’s the least we can do considering what it is an inefficient design for example penny has a flat screen tv which means all the space behind it is wasted and control it how also inefficient and might be loud oh really show me where we put a drip tray a sluice and an overflow reservoir oh i’ve got it how about if we replace panels a b and f and crossbar h with aircraft grade aluminium meet back here in an hour got it they all leave,Leonard
2,don’t panic this is what the last hours have been about warriors unsheathe your weapons magic wielders raise your wands stay in formation that’s alright my tail’s prehensile i’ll swat him off raj no it’s a trap they’re flanking us forget the sword sheldon help raj dammit man we’re dying here the bastard teleported you betrayed us for money who are you no i can’t look at you or your avatar right now excuse me oh right right right right right penny the mailman did it again he… looks up to see penny kissing a hunky man oh sorry not much bro uh yeah uh i just i got your mail again here oh no that’s probably not such a good idea civil servants have a documented propensity to you know snap no problem bye oh and bye bro returns to apartment no i’m fine penny’s fine the guy she’s kissing is really fine and… what is wrong with you no i’m not jealous i’m just a little concerned for her i didn’t like the look of the guy that she was with yeah he was kinda dreamy well i’m done with penny i’m going to be more realistic and go after someone my own speed i don’t know olivia geiger yeah so look howard if i were to ask lesley winkle out it would just be for dinner i’m not going to walk into the lab ask her to strip naked and dance for me hello lesley lesley i would like to propose an experiment right lesley i would like to propose an experiment pfff i’ve done it about two seconds for minestrone anyway i was thinking more of a biosocial exploration with a neurochemical overlay i was going to characterise it as the modification of our colleaguefriendship paradigm with the addition of a datelike component but we don’t need to quibble over terminology there is a generally accepted pattern in this area i would pick you up take you to a restaurant then we would see a movie probably a romantic comedy featuring the talents of hugh grant or sandra bullock heartrate pheromones etc yes you mean kiss you now can you define the parameters of the kiss thank you takes mint shall i count down from three you proposed the experiment i think you should present your findings first none ah well thank you for your time none at all hey what’s going on oh we tried kissing but the earth didn’t move i mean any more than the miles that it was going to move anyway you don’t know me you don’t wear my chains… god that’s a good song i know what you’re thinking i’ve taken your asthma into account there’s a feline geneticist in san diego who has developed the cutest little hypoallergenic calicos i’ve been thinking about names i’m kind of torn between einstein newton and sergeant fuzzyboots maybe if it’s a cute little cuddly cat it doesn’t matter the woman’s not interested in me the woman rejected me you’re right i didn’t ask her out i should ask her out no but you’re right i should march over there and ask her out good afternoon penny so hi hey uh… i was wondering if you had plans for dinner there is an inherent ambiguity in the word dinner technically it refers to the largest meal of the day whenever it is consumed so to clarify here by dinner i mean supper or dinner i was thinking six thirty if you can go or a different time really great us guys they… might all be there or a subset of them might be there uh algebraically speaking there are too many unknowns for example sheldon had quizznos for lunch sometimes he finds that filling other times he doesn’t it’s no fault of quizznos they have a varied menu great did we say a time and that’s still good for you cos it’s not carved in stone i’ll get my chisel to… carve the… okay i’ll see you six thirty how do i look can you tell i’m perspiring a little six thirty is it too much by the way if it should ever come up you didn’t join us because you stuffed yourself with a chicken carbonara sub at quizznos no reason oh you know what maybe this isn’t such a good idea you’re right alcohol poor judgement it could go well you could have stopped at “it could go well” i mean i’m a perfectly nice guy there’s no reason we couldn’t go to the restaurant and have a lovely dinner maybe take a walk afterwards talk about things we have in common “you love pottery i love pottery” you know there’s a pause we both know what’s happening i lean in we kiss it’s a little tentative at first but then i realise she’s kissing me back and she’s biting my lower lip you know she wants me this thing is going the distance we’re going to have sex oh god oh my god i’m having a panic attack if i could calm down i wouldn’t be having a panic attack that’s why they call it a panic attack why okay what oh who am i kidding i can’t go through with this you need to call her and cancel yes i don’t know tell her i’m sick not the kind of illness that will make her want to come over and take care of me but nothing so critical that she’ll feel uncomfortable going out with me in the future if i want to try this again give me the phone i can’t because if i don’t show up she’ll still be expecting you stop asking me all these questions i need to take another shower oh yeah no turns out that raj and howard had to work and sheldon had a colonoscopy and he hasn’t quite bounced back yet you’re kidding well then that’s something we have in common we both have people in our lives who… want to nip intestinal polyps in the bud nothing well with the exception of string theory not much has happened since the ’s and you can’t prove string theory at best you can say “hey look my idea has an internal logical consistency” what’s new at the cheesecake factory good good and what about your uh hallway friend no waves her away you were saying but… just say the but thing about doug and then i’ll get her back ugh don’t get me started on rebound sex i’m not sure that i do um is that one thirtysix hour experience or is it thirty six hours spread out over say one… glorious summer well chafing right of course yeah emotional chafing hey do you want to see something cool penny nods i can make this olive go into this glass without touching it physics he places the glass over the olive and spins it until the olive gets caught up on the side actually it’s centripetal force which is an inward force generated by the glass acting on the olive the olive drops excuse me leonard disappears under tablenow if you were riding on the olive you’d be in a noninertial reference frame and would he bangs his head on the underside of the table yeah i’m okay did you spill ketchup i’m not okay no no i’m okay it’s stopped bleeding yes but i get car sick too so… sorry about your car by the way the poor guy on the bike i had a nice time yeah this no no of course not this was just you and me hanging out with a bunch of guys who didn’t show up because of work and a colonoscopy when i take a girl out on a date and i do she knows she’s been dated capital d bold face underline like dayted i think i might have a little concussion i’m going to go lay down for a while good night awesome,Leonard
3,why did you hit a roadblock with invisibility interesting sounds like a breakthrough should i call the science magazines and tell them to hold the front cover exiting the apartment then i guess congratulations are in order i know i’m familiar with you yes i was there what well then we’ll avoid finkleday we’ll meet the new department head congratulate him shake his hand and go mahalo’s a nice touch interesting you should lead with that you don’t have buffets in india what sees howard entering with a statuesque blonde howard brought a date here comes our new boss be polite well you did call him a glorified highschool science teacher whose last successful experiment was lighting his own farts morning you’re making eggs for breakfast huh cos it looks a lot like breakfast sounds yummy i look forward to your work with bacon you know i’m sure if you just apologised to gablehauser he would give you your job back okay i’ll let you get back to fixing your eggs and we all thank you hey i just ran into penny she seemed upset about something what’s with the fish what happened to your scrambled egg research so… fish fish nightlights mum’s the word sheldon are you sure you don’t want to just apologise to gablehauser and get your job back like luminous fish right… i didn’t… thank you for coming on such short notice i didn’t know what else to do he’s lost all focus every day he’s got a new obsession they enter the apartment sheldon is weaving on a loom he is wrapped in a poncho this is a particularly disturbing one because one of the great minds of the twentyfirst century is raising glowinthedark fish and weaving sarapes really when was the last time you left the house that was three weeks ago where are you going oh i see sheldon your mum made dinner that is a lovely story um are we going to do anything about sheldon sounds like a wise man a death ray no we’re not we’re not not a couple two singles like those individually wrapped slices of cheese that… are friends this is ridiculous dammit sheldon snap out of it you’re a physicist you belong at the university doing research not hiding in your room sheldon scuttles away really that’s impressive hey how did it go really what happened that narrows it down,Leonard
4,no no no no orcs are magic superman is vulnerable to magic not to mention you already lost godzilla to the illinois cavalry and hulk and orcs just get a hamburger you like hamburgers i’m sorry give him a hamburger make it two hey lesley lesley this is penny she lives across the hall from sheldon and me lesley and i do research together at the university what happened to elliot wong yeah sure why not why at my place yeah my parents felt that naming me leonard and putting me in advanced placement classes wasn’t getting me beaten up enough lesley no nooh what are you kidding thank you sheldon what did penny mean you’d make a cute couple if penny didn’t know that lesley had already turned me down then that would unambiguously mean that she penny thought that i should her lesley out indicating that she penny had no interest in me asking her penny out but because she did know that i had asked lesley out and that she lesley had turned me down then she penny could be offering consolation that’s too bad you would have made a cute couple but while thinking good leonard remains available how so well what do you think thank you that was fun lesley thanks for including me uh sure why not really i thought you weren’t interested in me you mean my cello no kidding gee uh… penny what about her well i did have a poppy seed bagel for breakfast which could give a positive urine test for opiates but certainly not dilate my pupils so i guess there’s no point in bringing it up no no there’s nothing going on between penny and me yeah yeah i guess i am yeah yeah it is good did you want to start now oh okay a little musical foreplay terrific i’m good i’m good to go hey what’s the matter are you sure oh yeah but doesn’t that fix the problem you’ve been having thank you i’ll see you at work you can stare at your board all day sheldon she’s still going to be right oh hi pretty good pretty very there’s really no objective scale for delineating variations of good why do you ask sheldon wuh i don’t… ththththat’s really two different questions uh i’m not… sheldon we have to go thank you what did she mean she’s happy for me is she happy because i’m seeing someone or is she happy because she thinks that i’m happy because anyone who cared for someone would want them to be happy even if the reason for their happiness made the first person unhappy you know because the second person though happy is now romantically unavailable to the first person you know what i’m being ridiculous but who cares what penny thinks lesley is a terrific girl she’s attractive we like each other she’s extremely intelligent she fixed your equation you don’t believe in luck regardless i have a chance at a real relationship with lesley i’m not going to pass that up for some hypothetical future happiness with a woman who may or may not want me to be happy with a woman who is currently making me happy yeah hey lesley brrrr why are you smashing a flash frozen banana so anyway puts arms around her hello just extending the intimacy do you want to slip over to the radiation lab and share a decontamination shower i’m not sure but i think i’m about to discover how the banana felt who wouldn’t yeah well i’m just glad to be a part of it so what happens now oh okay thank you you want to make plans for new years sorry doctor what wha… how did it get on the internet well how did you know about it well that part’s true no kidding your old tuesday hamburger will be so broken hearted really oh to be honest i don’t think it’s going to work out well what did she mean by that was that just a generic platitude or was that a subtle bid for attention are you even listening to me okay then you know you can grow the ingredients for soup sheldon nods,Leonard
5,oh come on some battles you win some battles you lose i think we have to acknowledge those were some fairly savage preadolescent jews sheldon let it go you hid behind a tree yelling “get the kid in the yarmulkah get the kid in the yarmulkah” hello penny a party yeah i don’t know penny… we’re really more… but thanks thanks for thinking of us is there a theme he’s asking if we can come as anyone from sciencefiction fantasy… i’ll get it he enters wearing a flash costume opens door oh no we all have other costumes we can change okay how about this nobody gets to be the flash we all change agreed i call frodo you went with thor hey sheldon there’s something i want to talk to you about before we go to the party no it’s not… terrific um this party is my first chance for penny to see me in the context of her social group and i need you not to embarrass me tonight for example tonight noone needs to know that my middle name is leakey all i’m saying is that this party is the perfect opportunity for penny to see me as a member of her peer group a potential close friend and… perhaps more i don’t want to look like a dork hey sorry we’re late actually penny he’s rob… oh he’s the doppler effect okay we’re socialising meeting new people she’s not catwoman she’s just a generic cat where do you get this stuff i want to get to know penny’s friends i just i don’t know how to talk to these people how so go on then what happens this is ridiculous i’m jumping in no you’re coming with me come on yes but i need a wingman hi why don’t you just tell people you’re a zebra because i’m frodo oh no that’s penny’s exboyfriend if he were any bigger he’d have moons orbiting him why should we leave for all we know he crashed the party and penny doesn’t even want him here penny and kurt hug maybe they just want to be friends then he and i are on equal ground look if this was years ago by virtue of his size and strength kurt would be entitled to his choice of female partners yes but our society has undergone a paradigm shift in the information age sheldon you and i are the alpha males we shouldn’t have to back down no i’m going to assert my dominance face to face hello penny hello kurt no i’m a hobbit uh a hobbit is a mortal halfling inhabitant of middle earth whereas an elf is an immortal tall warrior i think we’re all talking to penny here okay i understand your impulse to try to physically intimidate me i mean you can’t compete with me on an intellectual level and so you’re driven to animalistic puffery no i said animalistic of course we’re all animals but some of us have climbed a little higher on the evolutionary tree no penny it’s okay i can handle this i’m not a dwarf i’m a hobbit a hobbit are misfiring neurons in your hippocampus preventing the conversion from shortterm to longterm memory a homohabilus discovering his opposable thumbs says what i think i’ve made my point there’s not going to be a confrontation in fact i doubt if he can even spell confrontation yeah no i’m fine it’s good it’s a good party thanks for having us it’s just getting a little late so… what’s that no good night sheldon hi penny i’m fine it’s not your fault so why was he at your party there there nothing you’re perfect yes you are penny how much have you had to drink tonight are you sure that your being drunk and your being angry with kurt doesn’t have something to do with what’s going on here yeah i’m a frickin’ genius because if all guys were like me the human race couldn’t survive probably that’s right you saw what you saw that’s how we roll in the shire closes door quickly locks and chains it,Leonard
6,here let me try call mcflono mcfloonyloo hehheh so we’ll start now hey penny come on in sure what’s going on so if you don’t like this christie why are you letting her stay oh i don’t think she’s a whore okay fine we’ll just play one on one until he gets back well the only way we can play teams at this point is if we cut raj in half great idea it’s the only way we can play teams penny you are on fire well to be fair he is also a rather unpleasant winner you know penny we make such a good team maybe we could enter a couple of halo tournaments sometime i guess for you that’s an option good night she’s an enigma raj she’s gone sheldon what’s wrong are you sure no take the couch or my bed i just got new pillows hypoallergenics let me guess you have a problem with this it’s up to you crazy person’s choice your friendship means a lot to me as well what else so i’m sorry are you suggesting that if we let penny stay we might succumb to cannibalism penny if you promise not to chew the flesh off our bones while we sleep you can stay i’ll get you a blanket and a pillow here you go sorry about that fyi his toothbrush is the red one in the plexiglass case under the uv light well sleep tight funny expression sleep tight it refers to the early construction of beds which featured a mattress suspended on interlocking ropes which would occasionally… sleep tight what are you doing penny’s still sleeping i know i know look you have a tv in your room why don’t you just have breakfast in bed leonard penny you’re always welcome to stay with us for one thing you live with your mother sheldon you just can’t dictate… howard can’t you see she’s using you we can’t order chinese food without wolowitz i see a problem so we’ll just order three entrees can we get an order of dumplings but with three instead of four this isn’t a substitution it’s a reduction fine bring us three orders of dumplings that’s twelve we’ll each have four if we have extra we’ll just take the leftovers home wolowitz is with his new girlfriend if you had let me invite penny then you would have had your fourth we don’t order egg rolls here’s an idea why don’t we just go out for indian food yeah we can always divide soup well with wolowitz spending all of his time with your friend christie right anyway uh with wolowitz occupied elsewhere we had something we wanted to ask you sheldon sheldon remember we roleplayed this maybe we should have asked if we could go dancing with her and her girlfriend so aaah for god’s sake sheldon you are driving me crazy no i’m pretty sure my anger’s with you who are you calling sheldon think this through you’re going to ask howard to choose between sex and halo you’re right all sex has is nudity orgasms and human contact now raj kill sheldon well then start throwing grenades that will do raj straight for the tank there’s a sniper use your rocket launcher i thought i heard something no never mind alright go,Leonard
7,compromise watch babylon well five is partway between three… never mind ahoy matey or in this case the bar mitzvah boy with pinkeye you’re not gonna need wingman you’re gonna need a paramedic well i want to watch it now watch whatever you want hello hey howard what’s wrong okay okay we’ll be right there howard’s at the mars rover lab he says he’s in trouble defcon what how can not be worse than can we just forget i said defcon and go what’s the emergency wait a minute so the eye patch and the insults worked okay no one’s a scientist like howard just said howard’s a terrific guy he’s got a great sense of humour he loves his mother a lot some people say too much yeah i am loyal you know if you look at the big picture just out of curiosity did he ever have a shot with you then why did you got it so can i see you again ooh cool psst psst yeah listen i have to kinda sneak out for a while no wait if anyone asks you where i went you don’t know i can’t tell you that i can’t tell you that either yeah i really didn’t think this through what i don’t know just tell them i went to the office no just say leonard went to the office what is no not like that just leonard went to the office i’m going to the office i’m going out for a while so how was work today i’m hoping that’s three different guys oh you know i’m a physicist so i thought about stuff well i wrote some of it down uh yeah if i knew you were waiting i would’ve swallowed that lasagna whole i’ve had her brisket melts in your mouth that’s a good idea there’s a bed in there and i’m very very very probed don’t you think we should tell him you’re not interested dear god no hey yeah a couple thank you i’m sorry so uh what we did was in fact dating exactly thank you do me a favour tell koothrappali that next time you see him oh she’s a doctor doctor doctor surgical resident smart pretty let me ask you something if your friend thinks he’s dating someone but he’s not because in fact you’re dating her does that make you a bad person on what yeah are you sure does that change things so why’d you ask listen i need to talk to you about something oh hey guys hi howard howard that’s just ridiculous why are you cooperating with him howard come on i didn’t plan on this these things just happen usually not to me but they do happen oh hi steph come on in yeah but i don’t see a better one on the horizon so… he just won’t listen to me hmm lisa’s gonna be disappointed howard howard look at this,Leonard
8,okay the xs are online hang on hang on do you not realise what we just did no no no you don’t get it um howard enable public access no hang on hang on the lamp goes off and on again see wireless webcams wave hello who’s running the red corvette sheldon why is this letter in the trash it’s from the institute for experimental physics they want us to present our paper on the properties of super solids at the topical conference on boweseinstein condensates okay… if i may drill down to the bedrock of my question why did you throw it out forget the parties are there any other honours i’ve gotten that i don’t know about did ups drop off a nobel prize with my name on it shut up howard sheldon we have to do this okay let me put it this way i’m doing it oh come on the only reason you’re the lead author is because we went alphabetically excuse me i designed the experiment that proved the hypothesis so the entire scientific community is just supposed to take your word alright i don’t care what you say i’m going to the conference and i’m presenting our findings you forbid it oh you admit that it’s our work ah not only is he still not talking to me but there’s this thing he does where he stares at you and tries to get your brain to explode you know like in the classic scifi movie scanners put’s fingers to head you know bzzzpchew never mind how about this one it says “i know my physics but i’m still a fun guy” they don’t that’s why i saved this one is this all stuff you want me to try on oh oh that’s the bottled city of kandor you see kandor was the capital city of the planet krypton it was miniaturised by brainiac before krypton exploded and then rescued by superman it’s a lot cooler when girls aren’t looking at it great be right back here no i’m not shy i know you won’t look why would you look there’s nothing to see well not nothing… putting them on no no scientists do not compromise our minds are trained to synthesise facts and come to inarguable conclusions not to mention sheldon is batcrap crazy oh careful that’s my original series battlestar galactica flight suit because it’s not a costume it’s a flight suit uhhuh it goes with my corduroy suit ah technically yes but if you’ll notice it’s reversible so it works as two yeah everything since the eighth grade my last growth spurt great hey sheldon i’ve been thinking instead of arguing about this why don’t… what… sheldon goes into apartment and slams the door okay i’m leaving for the conference sheldon i didn’t mean it like that i don’t know i wasn’t choosing my… no no not at all a little bit okay i’m going to ask you one more time we did the work together lets present the paper together let’s go you’re right this side does look better you’re kidding all in particle physics twenty five is woodstock i wasn’t expecting such a crowd i’m a little nervous a joke okay how about this um okay uh there’s this farmer and he has these chickens but they won’t lay any eggs so he calls a physicist to help the physicist then does some calculations and he says um i have a solution but it only works with spherical chickens in a vacuum raj and howard laugh right it’s a classic right so in conclusion the data show that at temperatures approaching absolute zero the moment of inertia changes and the solid becomes a supersolid which clearly appears to be a previously unknown state of matter applause thank you penny is asleep on howard’s shoulder howard is taking a photograph with his camera phone are there any questions any other questions i didn’t skip it it’s just an anecdote it’s not science you are not isaac newton you cannot possibly be that arrogant look if you weren’t happy with my presentation then maybe you should have given it with me really so why did you come i didn’t screw it up i’ve had enough of your condescension maybe i didn’t go to college when i was eleven like you maybe i got my doctorate at instead of but you are not the only person who is smarter than everyone else in this room no offense and i am clearly not the only person who is tormented by insecurity and has an ego in need of constant validation yes to audience my name is dr leonard hofstadter and i could never please my parents so i need to get all my selfesteem from strangers like you but he’s worse you cannot blow up my head with your mind stop it you were trying to blow up my head it wasn’t it was not you are a nutcase stop stop it quit it the start to fight vulcan nerve pinch you’re lucky i didn’t run you over you’re right i’m the problem i’m the one that needs help excuse me is there anything you’d like to apologise for what oh jeez is this suit really look that bad,Leonard
9,see the liquid metal terminators were created in the future by skynet and skynet was developed by miles dyson but that future no longer exists due to dyson’s death in terminator skynet is kinky i don’t know alright oh wait they use it to in… what the hell is that what oh we just had to… mail some letters and seeing sheldon has large bag in hand and bin is nearby throw away some chicken sheldon very reluctantly does oh i give up believe it or not personal growth what happened no you don’t no he doesn’t oh congratulations what a lucky break no you don’t he doesn’t because… uh friday we are attending a symposium on molecular positronium no it’s this friday at eight see you penny exits singing yes i did so sheldon are you worried about your safety that’s very true what it’s two o’clock in the morning i highly doubt that go away long pause are you still out there what what what what what what sheldon what is it what was i supposed to say that would have hurt her feelings yes and what would i have said afterwards i couldn’t say that i would have to say you were terrific and i can’t wait to hear you sing again it’s the social protocol it’s what you do when you have a friend who’s proud of something they really suck at well now you are yes oooaw this would be so much easier if i were a violent sociopath opening door what how you told her i lied why would you tell her i lied i’m sorry i’m not seeing the help oh i’m getting a bad feeling your cousin leopold what’s important do you have a cousin leopold i don’t get it i already told her a lie why replace it with a different lie ununravelable okay why would i go to a drug intervention for your cousing we’re going to long beach oh come on so he goes back into rehab you still told her i lied i don’t know how am i supposed to remember all of this so she’s expecting me to lie about going to a symposium in pasadena when in actuality we’re pretending to go to a drug intervention in long beach oh hey penny wow look at you all ready for your showcase you look great oh well thankyou i don’t know what to say oh okay alright good howard i’m sorry… we’re… we’re i don’t know what to say howard listen… well… i don’t know what to say oh another hug thank you thanks penny no we’re not going to long beach because sheldon doesn’t have a drug addicted cousin leopold wait are we really going to long beach let it go sheldon the murderer was the first mate whether it makes sense to you or not what are you talking about it’s fine she bought it it’s over why not there is no leo how can you say that i’ve got a solution get out who are you oh god sheldon does not have a cousin leo sheldon yeah i got it sheldon why oh… well that’s leo hey um why don’t you tell me about your showcase last night there were only two people there as you can see detoxing can get pretty ugly let’s give them some privacy sounds good gee why wouldn’t i yeah funny how things work out how long is he going to stay here,Leonard
